voivodeship,date,cases
lubelskie,2020-10-27,400
lubuskie,2020-10-27,323
śląskie,2020-10-26,1002
opolskie,2020-10-26,1144
wielkopolskie,2020-10-26,458
zachodniopomorskie,2020-10-26,560
świętokrzyskie,2020-10-26,316
kujawsko-pomorskie,2020-10-26,525
podlaskie,2020-10-26,206
dolnośląskie,2020-10-26,462
podkarpackie,2020-10-26,729
małopolskie,2020-10-26,1144
pomorskie,2020-10-26,672
warmińsko-mazurskie,2020-10-26,370
łódzkie,2020-10-26,695
mazowieckie,2020-10-26,1654
lubelskie,2020-10-26,750
lubuskie,2020-10-26,363
śląskie,2020-10-25,1
opolskie,2020-10-25,1
wielkopolskie,2020-10-25,851
zachodniopomorskie,2020-10-25,474
świętokrzyskie,2020-10-25,405
kujawsko-pomorskie,2020-10-25,1
podlaskie,2020-10-25,212
dolnośląskie,2020-10-25,585
podkarpackie,2020-10-25,912
małopolskie,2020-10-25,1
pomorskie,2020-10-25,1
warmińsko-mazurskie,2020-10-25,340
łódzkie,2020-10-25,818
mazowieckie,2020-10-25,1
lubelskie,2020-10-25,700
lubuskie,2020-10-25,312
śląskie,2020-10-24,1262
opolskie,2020-10-24,1482
wielkopolskie,2020-10-24,1472
zachodniopomorskie,2020-10-24,580
świętokrzyskie,2020-10-24,412
kujawsko-pomorskie,2020-10-24,777
podlaskie,2020-10-24,308
dolnośląskie,2020-10-24,645
podkarpackie,2020-10-24,891
małopolskie,2020-10-24,1482
pomorskie,2020-10-24,777
warmińsko-mazurskie,2020-10-24,344
łódzkie,2020-10-24,1001
mazowieckie,2020-10-24,2026
lubelskie,2020-10-24,715
lubuskie,2020-10-24,379
śląskie,2020-10-23,1305
opolskie,2020-10-23,1554
wielkopolskie,2020-10-23,1050
zachodniopomorskie,2020-10-23,558
świętokrzyskie,2020-10-23,639
kujawsko-pomorskie,2020-10-23,1207
podlaskie,2020-10-23,226
dolnośląskie,2020-10-23,667
podkarpackie,2020-10-23,852
małopolskie,2020-10-23,1554
pomorskie,2020-10-23,1207
warmińsko-mazurskie,2020-10-23,365
łódzkie,2020-10-23,800
mazowieckie,2020-10-23,2075
lubelskie,2020-10-23,743
lubuskie,2020-10-23,449
śląskie,2020-10-22,1168
opolskie,2020-10-22,1516
wielkopolskie,2020-10-22,1516
zachodniopomorskie,2020-10-22,515
świętokrzyskie,2020-10-22,486
kujawsko-pomorskie,2020-10-22,905
podlaskie,2020-10-22,224
dolnośląskie,2020-10-22,610
podkarpackie,2020-10-22,777
małopolskie,2020-10-22,1331
pomorskie,2020-10-22,905
warmińsko-mazurskie,2020-10-22,311
łódzkie,2020-10-22,863
mazowieckie,2020-10-22,1579
lubelskie,2020-10-22,411
lubuskie,2020-10-22,297
śląskie,2020-10-21,1
opolskie,2020-10-21,1
wielkopolskie,2020-10-21,755
zachodniopomorskie,2020-10-21,285
świętokrzyskie,2020-10-21,259
kujawsko-pomorskie,2020-10-21,771
podlaskie,2020-10-21,268
